,cell_penalty,packing_fraction
16923,0.0,0.0444611223253168
90517,0.0,0.0444738968837038
87929,0.0,0.0444883128340751
61072,0.0002070446902221,0.0444962092275454
14767,0.0,0.0444974548181496
73255,0.0,0.0445075958207252
84817,0.0,0.0445076948889703
10341,0.0,0.0445103696708468
86434,0.0,0.044536098244701
29515,0.0,0.044541536688265
76532,0.0,0.0445420717120125
85004,0.0,0.0445454859165275
82923,0.0,0.0445481087035835
71261,0.0049151930664409,0.0445589307747866
81407,0.0,0.0445639476634006
35806,0.0,0.0445660425371026
94349,0.0,0.0445708552896327
24407,0.0,0.0445721933304146
96690,0.0,0.0445868075685802
92080,0.0,0.0445888897675528
99449,0.0,0.0445920257570475
4121,0.0,0.0445929589860717
21121,0.0006927440094139,0.044597555005874
96518,0.0,0.044601291938433
16841,0.0,0.0446057363639282
1202,0.0,0.0446123374139793
23822,0.0,0.0446167785204252
13989,0.0,0.0446222167290261
71783,0.0,0.0446234168000527
38336,0.0,0.0446295121956024
42971,0.0,0.0446587147009111
17165,0.0,0.0446633543660278
11215,0.0,0.044663382277548
87729,0.0,0.0446717647004085
77790,0.0,0.0446746675384226
88036,0.0,0.0446752665792513
43221,0.0,0.0446822389038675
48018,0.0,0.0446916650205341
89624,0.0,0.0446929557762245
48798,0.0,0.044694981393236
90868,0.0,0.0446984045118153
85683,0.0,0.044703810879223
32852,0.0,0.0447069908652462
31042,0.0,0.044712070969744
30837,0.0,0.0447157678772816
57943,0.0,0.044715961989142
26020,0.0,0.0447187099804972
70800,0.0,0.0447232740530643
2039,0.0,0.0447425737694397
17818,0.0,0.0447467665826118
85486,0.0,0.0447489322515199
21600,0.0,0.0447524880847628
34312,0.0,0.0447557156707427
44922,0.0,0.0447559790335732
55236,0.0,0.0447574333394226
80937,0.0,0.0447598569024549
22475,0.0,0.0447604017319126
17040,0.0,0.0447614494056561
82733,0.0,0.0447650532645348
13820,0.0,0.0447671610916612
95945,0.0,0.0447723538279173
36695,0.0,0.0447733714117449
32443,0.0,0.0447796637322009
2752,0.0,0.044781228248957
98253,0.0,0.0447908387696768
98497,0.0,0.0447915888867304
73241,0.0,0.044800957536269
18843,0.0,0.0448035996760986
25484,0.0,0.0448040988884481
91637,0.0,0.0448104661472195
58185,0.0,0.0448184301319443
44680,0.0,0.0448271551402696
13186,0.0,0.0448294623568088
52840,0.0,0.0448382914730715
35786,0.0003407314689071,0.0448384012723672
72853,0.0,0.0448417686979093
65569,0.0,0.0448439971557316
66099,0.0,0.0448450729437177
50262,0.0014380922987877,0.044851216655404
7113,0.0,0.0448523092598661
16210,0.0,0.0448584077120177
47467,0.0,0.0448598741877134
96876,0.0,0.0448613389146144
18689,0.0,0.0448737953806263
66653,0.0,0.0448750520989915
79750,0.0,0.0448852253743884
72924,0.0,0.044886918125321
58961,0.0,0.0448906468365168
24233,0.0,0.044891243818181
91646,0.0,0.0448922477402777
85400,0.0,0.0448948313957195
7699,0.0,0.0448959895722159
54926,0.0,0.0449007273411649
