,cell_penalty,packing_fraction
10319,0.0,0.1354067065673741
93636,0.0,0.135414401406953
79591,0.0,0.1354208726433545
88170,0.0,0.1354317609402503
44860,0.0,0.1354339325287904
12684,0.0,0.1354888168326009
17320,0.0005269479830362,0.135493100864908
57900,0.0,0.1354982198695534
45666,0.0,0.1355004680477163
8073,0.0070524290287565,0.1355185244926397
20911,0.0,0.1355808123040145
9505,0.0,0.1356921098264279
63132,0.0,0.1357343022030968
45343,0.0,0.1357467330714519
31079,0.0,0.135772099062591
95646,0.0009903442134752,0.1358372129327701
44714,5.060676485857905e-05,0.1358612327604344
70037,0.0,0.1358834483110195
7928,0.0,0.1359172664125571
86126,0.0,0.1359200679068639
52193,0.003616091818225,0.1359200854857585
22040,0.0036274811834219,0.1359355475173553
23244,0.0,0.1359377890043506
22394,0.0,0.1359662350511548
34686,0.0,0.1359897820284497
18531,0.0,0.1360034677001977
91880,0.0,0.1360116214361881
22164,0.0013780675984662,0.1360330632003621
36480,0.0,0.136049622677639
46704,0.0049081010051844,0.1360853301532353
32689,0.0,0.1360909794392199
53097,0.0,0.1360919365811262
71787,0.0004978091484866,0.1361187112045778
84463,0.0002039979995544,0.1361347295781165
72157,0.0,0.1361487686038546
56541,0.0,0.1361891658085794
39936,0.0,0.1362228670706763
1955,0.0,0.1362445476858601
937,0.0099678159796015,0.1362517987457051
8122,0.0050005723471947,0.1362861821646105
69097,0.0004020823038955,0.1363046790360811
23035,0.0080611033575485,0.1363318859793916
37769,0.0,0.1363387576551811
90103,0.0,0.1363518952507527
37112,0.0,0.1363555853688768
39988,0.0001986077808426,0.1364044029187243
5493,0.0024701351213914,0.1364166316865869
6911,0.0008373692262122,0.1364509833551033
90102,0.0,0.1364798241187481
52324,0.0,0.1364837442305193
71124,0.0,0.1364972985031478
92086,0.0,0.1365586730846037
18576,0.0077047581367303,0.1365624871945057
90101,0.0,0.1365668272965545
24398,0.000224495764135,0.1365729972254836
43487,0.0004022383221996,0.1365835402299075
96940,6.313412365748789e-05,0.1366177380441761
95805,0.0,0.1366200187018795
92711,0.0033880337603511,0.1366424519193833
83083,0.0,0.1366640731921667
22638,0.0,0.136673315639508
69805,0.0,0.1366747370293217
16855,0.0,0.1366895608913273
66980,0.0,0.1367035642272814
87041,0.0,0.1367442504542919
28739,0.0,0.1367749899236343
14971,0.0010193762224131,0.1368351625260467
29193,0.0,0.1368417379276338
65294,0.0021862579691467,0.1369322504102566
46651,0.0,0.1369341640401655
20176,0.0,0.136938445835038
60556,0.0,0.1369565663312626
16471,0.0,0.1369587913533776
2990,0.0022456301382546,0.1369700796992647
50201,0.0,0.1369792882202093
70047,0.0,0.1369829787710564
34256,0.0001460442840533,0.1369946623114332
11504,0.0,0.1370180495355744
28274,0.0026136935685849,0.1370923756041975
14102,0.0,0.1371099173636885
20091,0.0,0.1371167922637647
81618,0.0,0.1371540696088482
61057,0.0,0.137159785396052
23034,0.0080611033575486,0.1371878887728825
80347,0.0,0.1371883735720961
79561,0.0,0.1371969289127755
37123,0.0,0.1372219755499287
89215,0.0020402221314301,0.137256400449059
3962,0.0,0.1372765979887367
49406,0.0,0.1372794438363941
57283,0.0,0.1372794721089863
92425,0.0,0.1372861481644874
41867,0.0,0.1372868413327315
33688,0.0,0.1373161745345442
62147,0.0016393613946714,0.1373180741750312
10083,0.0,0.1373362312536371
14541,0.0,0.1373502596311413
20364,0.0052000928501913,0.1373735369716403
23525,0.0,0.1373737641743421
